cname_qog,cname,ccodealp,ht_region,wdi_trade,trade_open,trade_level,trade_level_High_Trade,trade_level_Intermediate_Trade,trade_level_Low_Trade,trade_level_NA,wdi_acel,wdi_expmil,wdi_wip,undp_hdi,wdi_expedu,wdi_area,wdi_taxrev,wdi_fdiin,cbie_index,wbgi_rle,bmr_dem,atop_ally,gol_est,mad_gdppc,mad_gdppc1900,bci_bci,lis_gini,top_top1_income_share
Mongolia,Mongolia,MNG,6,119.09807843777104,1,High_Trade,1,0,0,0,100,0.634517577391162,17.1052631578947,0.73,3.34389615058899,1557507,16.908849519202867,14.217731942267095,0.7305,-0.25020286,1,1,1,12992.166560057296,NA,51.742866,NA,0.1605
"Korea, South",Korea (the Republic of),KOR,6,80.19945692682694,1,Intermediate_Trade,0,1,0,0,100,2.8090061197359804,19,0.926,4.86627006530762,97600,16.73473394025267,1.2131549985580703,0.6795,1.0954695,1,1,3,40277.95211820309,NA,33.299564,0.332,0.1514
China,China,CHN,6,37.3019908656257,0,Low_Trade,0,0,1,0,100,1.61307386433133,24.9411764705882,0.785,3.98832511901855,9388210,7.965128046143767,1.930786222945392,0.659,0.010268886,0,1,NA,18666.604569482603,972,42.77728,0.413,0.1572
Japan,Japan,JPN,6,36.77148328704671,0,Low_Trade,0,0,1,0,100,1.01829737669403,9.67741935483871,0.92,3.33563995361328,364500,13.308271112113292,0.6957259617838065,0.3665,1.5403281,1,1,3,37678.275798449475,2123.25060819,11.50294,NA,0.0601
Taiwan,Taiwan (Province of China),TWN,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.454,1.2563621,1,NA,3,51943.88228863887,NA,24.957994,0.308,0.1933
"Korea, North",Korea (the Democratic People's Republic of),PRK,6,NA,NA,NA,NA,NA,NA,1,52.6,NA,17.6128093158661,NA,NA,120410,NA,NA,NA,-1.6355757,0,1,NA,1577.132110470986,NA,78.274202,NA,0.1476
Singapore,Singapore,SGP,7,329.7849787773599,1,High_Trade,1,0,0,0,100,2.7836312198381603,29.8076923076923,0.942,2.82470989227295,718,12.812897934185555,31.620740017912773,0.544,1.8194607,0,1,NA,77945.48593929896,2206,0.049689,NA,0.1421
Vietnam,Viet Nam,VNM,7,186.6758328000377,1,High_Trade,1,0,0,0,100,2.2845698600506203,30.2605210420842,0.718,2.94517493247986,313429,NA,4.273145661901873,0.3015,-0.17222163,0,1,NA,7507.758707370352,NA,53.418386,NA,0.1574
Brunei,Brunei Darussalam,BRN,7,147.12311237531776,1,High_Trade,1,0,0,0,100,3.2363674820972204,9.09090909090909,0.824,NA,5270,NA,1.461817222445641,0.704,0.8605746,0,1,NA,NA,NA,21.022983,NA,0.1314
Malaysia (1966-),Malaysia,MYS,7,134.01892634597772,1,High_Trade,1,0,0,0,100,0.986864882084694,14.8648648648649,0.798,4.26109409332275,328550,11.214646571960582,5.415570134488049,0.563,0.5320658,0,1,1,24764.64969856618,817.743016759777,37.838077,NA,0.1487
Cambodia,Cambodia,KHM,7,129.1114515483399,1,High_Trade,1,0,0,0,82.5,2.34734246417442,21.6,0.596,3.01162648200989,176520,16.36493330167857,12.920343105374082,0.7285,-0.91917795,0,1,NA,3796.4843887752886,NA,58.35419,NA,0.1813
Thailand,Thailand,THA,7,117.14450362665455,1,High_Trade,1,0,0,0,100,1.30612765710848,15.7464212678937,0.797,2.98212432861328,510890,14.304663362349926,2.9942872720567206,0.4355,0.09379883,0,1,3,16019.518754916817,NA,48.925691,NA,0.1983
Timor-Leste,Timor-Leste,TLS,7,99.89179885575702,1,Intermediate_Trade,0,1,0,0,100,1.08312161714349,38.4615384615385,0.574,2.9738941192627,14870,15.10031106627962,-11.56930127778083,NA,-1.0252875,1,1,2,NA,NA,54.659808,NA,0.1523
Philippines,Philippines (the),PHL,7,63.48460981367116,1,Intermediate_Trade,0,1,0,0,97.5,1.40682590650867,27.9605263157895,0.692,3.87249755859375,298170,14.130003931353851,3.040788553100473,0.639,-0.6668026,1,1,3,7894.177952445973,NA,53.15041,NA,0.1662
Indonesia,Indonesia,IDN,7,40.20475827496714,0,Low_Trade,0,0,1,0,99.2,0.74178636312329,21.0434782608696,0.707,1.03221750259399,1892555.47,9.094009978833524,1.7878556314554097,0.8415,-0.25344428,1,1,2,12233.968593294914,1151,49.316538,NA,0.1785
Myanmar,Myanmar,MMR,7,NA,NA,NA,NA,NA,NA,1,72.5,3.39115163606364,15.2941176470588,0.599,1.99976003170013,652670,6.017652477264844,3.114925616967869,0.765,-1.4677804,0,1,1,5113.336847752783,NA,54.835174,NA,0.1666
Laos,Lao People's Democratic Republic (the),LAO,7,NA,NA,NA,NA,NA,NA,1,100,NA,21.9512195121951,0.615,1.85949182510376,230800,10.391021664038536,5.693446959573288,0.52,-0.66391677,0,1,1,6961.121418225251,NA,59.885922,NA,0.1971
