variable,n,mean,sd,min,max
wdi_trade,169,89.97339538693213,57.01631745570071,24.345039327126504,393.1411981560197
trade_open,169,0.698224852071006,0.4603923498574554,0,1
trade_level_High_Trade,169,0.2781065088757397,0.44939770594891176,0,1
trade_level_Intermediate_Trade,169,0.5325443786982249,0.5004224757830207,0,1
trade_level_Low_Trade,169,0.1893491124260355,0.39294998774809903,0,1
trade_level_NA,194,0.12886597938144365,0.33591843411852534,0,1
wdi_acel,192,85.84010416666666,24.46622644868446,7.7,100
wdi_expmil,152,1.87270164764673,1.3365635976315933,0.110133662270893,7.58146863585647
wdi_wip,192,24.511292149149085,12.943979302313133,0,61.25
undp_hdi,190,0.7191,0.15328168729948027,0.38,0.965
wdi_expedu,174,4.578758328639228,2.0658593722408964,0.381919115781784,14.1951599121094
wdi_area,192,663647.3700624998,1839052.8834133267,2.084,16376870
wdi_taxrev,141,16.210857269131775,6.8549641530666685,5.886437254824805e-5,44.34683215053764
wdi_fdiin,181,-2.8664463110330405,97.40771521302176,-1303.108266911354,32.75221385412966
cbie_index,153,0.6935326797385621,0.15381130221204978,0.3015,0.912
wbgi_rle,193,-0.0657579336787564,0.9962527205569507,-2.3008955,2.0134761
bmr_dem,193,0.6062176165803107,0.4898582855238574,0,1
atop_ally,184,1,0,1,1
gol_est,142,1.8098591549295777,0.7139253054235463,1,3
mad_gdppc,162,19024.633668485116,20243.310964446624,606.8591051512815,143468.7564605031
mad_gdppc1900,47,2924.3332568955984,2007.7945586214862,817.743016759777,8037.5712
bci_bci,191,44.262189643979056,19.485862559798516,-3.496812,78.94162
lis_gini,35,0.3328,0.061201595519378794,0.236,0.485
top_top1_income_share,193,0.15851502590673575,0.04465962862917917,0.0601,0.274
